STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2006-07,,71.0,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2006-08,,69.9,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2006-09,,69.6,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2006-10,,74.4,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2006-11,,75.3,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2006-12,,89.4,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2007-01,,64.2,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2007-02,,62.5,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2007-03,,72.4,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2007-04,,73.2,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2007-05,,69.8,,p,provisional,,
